Labels list:
_________________________
|    0|   -1|   -1|    0|
|    1| 1000|   24|  103|
|    6| 2005|   91|   -1|
|   11|   10|    0|  101|
|   16| 2015|   96|   -1|
|   21|   20|    3|  102|
|   31|   30|    6|  104|
|   41|   40|    9|  106|
|   51|   50|   11|  107|
|   56| 1055|   52|   -1|
|   61|   60|   14|  108|
|   71|   70|   17|  109|
|   81|   80|   19|  110|
|   86| 1085|   66|   -1|
|   91|   90|   22|  111|
|  101| 1010|   27|  105|
|  102| 1020|   30|  114|
|  103| 2000|   88|  112|
|  104| 1030|   36|  115|
|  105| 2010|   93|  113|
|  106| 1040|   42|   -1|
|  107| 1050|   47|   -1|
|  108| 1060|   57|   -1|
|  109| 1070|   62|   -1|
|  110| 1080|   64|   -1|
|  111| 1090|   69|   -1|
|  112| 1100|   74|   -1|
|  113| 1110|   79|   -1|
|  114| 1120|   81|   -1|
|  115| 1130|   86|   -1|
